"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"sey01200","sey01200","Carbon metabolism","74/482","113/1762",1.99654033968507e-18,1.63716307854176e-16,1.11385934740325e-16,"SL1344_0007/SL1344_0152/SL1344_0153/SL1344_0154/SL1344_0159/SL1344_0233/SL1344_0535/SL1344_0712/SL1344_0714/SL1344_0716/SL1344_0717/SL1344_0718/SL1344_0719/SL1344_0720/SL1344_0721/SL1344_0749/SL1344_0914/SL1344_1176/SL1344_1225/SL1344_1253/SL1344_1261/SL1344_1283/SL1344_1312/SL1344_1398/SL1344_1400/SL1344_1496/SL1344_1557/SL1344_1644/SL1344_1708/SL1344_1723/SL1344_1755/SL1344_1818/SL1344_1820/SL1344_1822/SL1344_2058/SL1344_2118/SL1344_2171/SL1344_2306/SL1344_2307/SL1344_2335/SL1344_2357/SL1344_2371/SL1344_2393/SL1344_2435/SL1344_2436/SL1344_2437/SL1344_2517/SL1344_2931/SL1344_3029/SL1344_3031/SL1344_3038/SL1344_3039/SL1344_3044/SL1344_3045/SL1344_3052/SL1344_3331/SL1344_3353/SL1344_3467/SL1344_3665/SL1344_3670/SL1344_3865/SL1344_3936/SL1344_3984/SL1344_4011/SL1344_4030/SL1344_4034/SL1344_4069/SL1344_4118/SL1344_4119/SL1344_4157/SL1344_4211/SL1344_4279/SL1344_4280/SL1344_4348",74
"sey01110","sey01110","Biosynthesis of secondary metabolites","157/482","351/1762",2.61992227602451e-15,1.07416813317005e-13,7.30820424364731e-14,"SL1344_0002/SL1344_0004/SL1344_0007/SL1344_0112/SL1344_0113/SL1344_0152/SL1344_0153/SL1344_0154/SL1344_0159/SL1344_0170/SL1344_0233/SL1344_0367/SL1344_0411/SL1344_0481/SL1344_0585/SL1344_0660/SL1344_0662/SL1344_0680/SL1344_0712/SL1344_0714/SL1344_0716/SL1344_0717/SL1344_0718/SL1344_0719/SL1344_0720/SL1344_0721/SL1344_0737/SL1344_0749/SL1344_0873/SL1344_0914/SL1344_0935/SL1344_1058/SL1344_1062/SL1344_1072/SL1344_1131/SL1344_1132/SL1344_1170/SL1344_1176/SL1344_1224/SL1344_1225/SL1344_1253/SL1344_1261/SL1344_1283/SL1344_1312/SL1344_1358/SL1344_1397/SL1344_1398/SL1344_1400/SL1344_1488/SL1344_1489/SL1344_1490/SL1344_1497/SL1344_1557/SL1344_1631/SL1344_1644/SL1344_1654/SL1344_1657/SL1344_1680/SL1344_1683/SL1344_1708/SL1344_1724/SL1344_1755/SL1344_1817/SL1344_1820/SL1344_1822/SL1344_1862/SL1344_2048/SL1344_2049/SL1344_2050/SL1344_2051/SL1344_2053/SL1344_2054/SL1344_2058/SL1344_2060/SL1344_2061/SL1344_2072/SL1344_2075/SL1344_2118/SL1344_2253/SL1344_2254/SL1344_2331/SL1344_2335/SL1344_2357/SL1344_2371/SL1344_2381/SL1344_2393/SL1344_2436/SL1344_2437/SL1344_2450/SL1344_2452/SL1344_2462/SL1344_2472/SL1344_2485/SL1344_2488/SL1344_2508/SL1344_2517/SL1344_2527/SL1344_2616/SL1344_2931/SL1344_3029/SL1344_3031/SL1344_3032/SL1344_3038/SL1344_3039/SL1344_3044/SL1344_3045/SL1344_3052/SL1344_3065/SL1344_3081/SL1344_3262/SL1344_3277/SL1344_3302/SL1344_3331/SL1344_3353/SL1344_3453/SL1344_3467/SL1344_3493/SL1344_3502/SL1344_3503/SL1344_3505/SL1344_3506/SL1344_3645/SL1344_3665/SL1344_3666/SL1344_3670/SL1344_3844/SL1344_3863/SL1344_3864/SL1344_3865/SL1344_3869/SL1344_3891/SL1344_3924/SL1344_3935/SL1344_3936/SL1344_4011/SL1344_4013/SL1344_4030/SL1344_4034/SL1344_4049/SL1344_4050/SL1344_4056/SL1344_4073/SL1344_4115/SL1344_4118/SL1344_4119/SL1344_4156/SL1344_4157/SL1344_4172/SL1344_4184/SL1344_4211/SL1344_4279/SL1344_4280/SL1344_4285/SL1344_4348/SL1344_4395/SL1344_4399/SL1344_4497",157
"sey03010","sey03010","Ribosome","47/482","77/1762",2.41807691302583e-10,6.60941022893727e-09,4.49677461018839e-09,"SL1344_0044/SL1344_0217/SL1344_0918/SL1344_1128/SL1344_1270/SL1344_2646/SL1344_2649/SL1344_3183/SL1344_3256/SL1344_3276/SL1344_3316/SL1344_3317/SL1344_3381/SL1344_3383/SL1344_3384/SL1344_3385/SL1344_3388/SL1344_3389/SL1344_3390/SL1344_3391/SL1344_3392/SL1344_3393/SL1344_3394/SL1344_3395/SL1344_3396/SL1344_3397/SL1344_3399/SL1344_3400/SL1344_3401/SL1344_3402/SL1344_3403/SL1344_3404/SL1344_3406/SL1344_3407/SL1344_3408/SL1344_3414/SL1344_3415/SL1344_3693/SL1344_3694/SL1344_4045/SL1344_4088/SL1344_4089/SL1344_4090/SL1344_4091/SL1344_4324/SL1344_4326/SL1344_4327",47
"sey00010","sey00010","Glycolysis / Gluconeogenesis","31/482","45/1762",4.8596479528352e-09,9.96227830331216e-08,6.77793003948068e-08,"SL1344_0152/SL1344_0153/SL1344_0154/SL1344_0680/SL1344_0749/SL1344_1056/SL1344_1140/SL1344_1224/SL1344_1225/SL1344_1261/SL1344_1283/SL1344_1312/SL1344_1497/SL1344_1557/SL1344_1680/SL1344_1822/SL1344_2118/SL1344_2371/SL1344_2396/SL1344_2931/SL1344_3044/SL1344_3045/SL1344_3467/SL1344_3645/SL1344_3670/SL1344_4011/SL1344_4030/SL1344_4034/SL1344_4157/SL1344_4211/SL1344_4348",31
"sey01230","sey01230","Biosynthesis of amino acids","65/482","129/1762",6.31837355942861e-09,1.03621326374629e-07,7.04997470841508e-08,"SL1344_0002/SL1344_0004/SL1344_0007/SL1344_0112/SL1344_0113/SL1344_0159/SL1344_0208/SL1344_0214/SL1344_0662/SL1344_0712/SL1344_0737/SL1344_0749/SL1344_0873/SL1344_0914/SL1344_0935/SL1344_1176/SL1344_1225/SL1344_1261/SL1344_1312/SL1344_1644/SL1344_1654/SL1344_1657/SL1344_1708/SL1344_1755/SL1344_1822/SL1344_2048/SL1344_2049/SL1344_2050/SL1344_2051/SL1344_2053/SL1344_2054/SL1344_2118/SL1344_2393/SL1344_2436/SL1344_2437/SL1344_2452/SL1344_2517/SL1344_2931/SL1344_3038/SL1344_3039/SL1344_3044/SL1344_3045/SL1344_3052/SL1344_3065/SL1344_3262/SL1344_3302/SL1344_3453/SL1344_3506/SL1344_3665/SL1344_3670/SL1344_3844/SL1344_3863/SL1344_3864/SL1344_3865/SL1344_3869/SL1344_3954/SL1344_4011/SL1344_4030/SL1344_4049/SL1344_4050/SL1344_4073/SL1344_4156/SL1344_4184/SL1344_4395/SL1344_4399",65
"sey00020","sey00020","Citrate cycle (TCA cycle)","20/482","28/1762",1.24858291212362e-06,1.70639664656895e-05,1.16096305864126e-05,"SL1344_0152/SL1344_0153/SL1344_0154/SL1344_0159/SL1344_0712/SL1344_0714/SL1344_0716/SL1344_0717/SL1344_0718/SL1344_0719/SL1344_0720/SL1344_0721/SL1344_1176/SL1344_1398/SL1344_1400/SL1344_1644/SL1344_3331/SL1344_3467/SL1344_4279/SL1344_4280",20
"sey01250","sey01250","Biosynthesis of nucleotide sugars","29/482","49/1762",2.08842513260539e-06,2.44644086962346e-05,1.66445912824189e-05,"SL1344_0306/SL1344_0680/SL1344_0751/SL1344_0753/SL1344_1397/SL1344_1683/SL1344_1700/SL1344_2057/SL1344_2060/SL1344_2061/SL1344_2067/SL1344_2068/SL1344_2069/SL1344_2070/SL1344_2072/SL1344_2075/SL1344_2268/SL1344_2371/SL1344_3173/SL1344_3265/SL1344_3279/SL1344_3287/SL1344_3288/SL1344_3503/SL1344_3676/SL1344_3828/SL1344_3829/SL1344_3884/SL1344_4157",29
"sey00680","sey00680","Methane metabolism","21/482","32/1762",5.73411124104666e-06,5.87746402207282e-05,3.99878810230885e-05,"SL1344_0749/SL1344_0914/SL1344_1261/SL1344_1283/SL1344_1557/SL1344_2118/SL1344_2171/SL1344_2306/SL1344_2307/SL1344_2517/SL1344_2931/SL1344_3038/SL1344_3044/SL1344_3331/SL1344_3670/SL1344_3984/SL1344_4011/SL1344_4034/SL1344_4069/SL1344_4211/SL1344_4348",21
"sey01212","sey01212","Fatty acid metabolism","15/482","20/1762",1.12511521190438e-05,9.67209894826143e-05,6.58050377737941e-05,"SL1344_0228/SL1344_0233/SL1344_0305/SL1344_1007/SL1344_1130/SL1344_1131/SL1344_1132/SL1344_1134/SL1344_1631/SL1344_2335/SL1344_2347/SL1344_2357/SL1344_3353/SL1344_3935/SL1344_3936",15
"sey00250","sey00250","Alanine, aspartate and glutamate metabolism","21/482","33/1762",1.1795242619831e-05,9.67209894826143e-05,6.58050377737941e-05,"SL1344_0067/SL1344_0068/SL1344_0662/SL1344_0935/SL1344_1062/SL1344_1170/SL1344_1723/SL1344_2331/SL1344_2775/SL1344_2776/SL1344_3081/SL1344_3262/SL1344_3302/SL1344_3828/SL1344_3844/SL1344_3954/SL1344_4073/SL1344_4263/SL1344_4299/SL1344_4391/SL1344_4450",21
